LAT,LONG,DEM
61.333333,-161.050000,7
61.050000,-161.050000,5
60.766667,-161.050000,15
60.483333,-161.050000,38
60.200000,-161.050000,75
59.916667,-161.050000,159
59.633333,-161.050000,219
59.350000,-161.050000,106
59.066667,-161.050000,214
55.666667,-161.050000,91
70.116667,-160.766667,30
69.833333,-160.766667,61
69.550000,-160.766667,121
69.266667,-160.766667,339
68.983333,-160.766667,404
68.700000,-160.766667,687
68.416667,-160.766667,855
68.133333,-160.766667,271
67.850000,-160.766667,304
67.566667,-160.766667,365
67.283333,-160.766667,185
67.000000,-160.766667,130
66.716667,-160.766667,49
66.433333,-160.766667,177
66.150000,-160.766667,304
65.866667,-160.766667,83
65.583333,-160.766667,103
65.300000,-160.766667,111
65.016667,-160.766667,30
64.733333,-160.766667,16
64.450000,-160.766667,80
64.166667,-160.766667,237
63.883333,-160.766667,5
63.600000,-160.766667,490
63.316667,-160.766667,312
63.033333,-160.766667,120
62.750000,-160.766667,47
62.466667,-160.766667,27
62.183333,-160.766667,94
61.900000,-160.766667,10
61.616667,-160.766667,17
61.333333,-160.766667,10
61.050000,-160.766667,15
60.766667,-160.766667,25
60.483333,-160.766667,117
60.200000,-160.766667,224
59.916667,-160.766667,259
59.633333,-160.766667,717
59.350000,-160.766667,311
59.066667,-160.766667,133
55.666667,-160.766667,76
55.383333,-160.766667,24
70.400000,-160.483333,18
70.116667,-160.483333,29
69.833333,-160.483333,75
69.550000,-160.483333,130
69.266667,-160.483333,352
68.983333,-160.483333,748
68.700000,-160.483333,726
68.416667,-160.483333,730
68.133333,-160.483333,337
67.850000,-160.483333,410
67.566667,-160.483333,610
67.283333,-160.483333,490
67.000000,-160.483333,31
66.716667,-160.483333,60
66.433333,-160.483333,213
66.150000,-160.483333,365
65.866667,-160.483333,60
65.583333,-160.483333,172
65.300000,-160.483333,209
65.016667,-160.483333,107
64.733333,-160.483333,381
64.450000,-160.483333,130
64.166667,-160.483333,215
63.883333,-160.483333,10
63.600000,-160.483333,243
63.316667,-160.483333,363
63.033333,-160.483333,211
62.750000,-160.483333,60
62.466667,-160.483333,39
62.183333,-160.483333,38
61.900000,-160.483333,12
61.616667,-160.483333,30
61.333333,-160.483333,20
61.050000,-160.483333,26
60.766667,-160.483333,67
60.483333,-160.483333,186
60.200000,-160.483333,241
59.916667,-160.483333,558
59.633333,-160.483333,457
59.350000,-160.483333,151
59.066667,-160.483333,52
55.950000,-160.483333,484
55.666667,-160.483333,277
70.400000,-160.200000,19
70.116667,-160.200000,19
69.833333,-160.200000,65
69.550000,-160.200000,148
69.266667,-160.200000,186
68.983333,-160.200000,561
68.700000,-160.200000,779
68.416667,-160.200000,473
68.133333,-160.200000,610
67.850000,-160.200000,610
67.566667,-160.200000,499
67.283333,-160.200000,365
67.000000,-160.200000,138
66.716667,-160.200000,43
66.433333,-160.200000,1
66.150000,-160.200000,465
65.866667,-160.200000,127
65.583333,-160.200000,328
65.300000,-160.200000,365
65.016667,-160.200000,243
64.733333,-160.200000,365
64.450000,-160.200000,481
64.166667,-160.200000,258
63.883333,-160.200000,60
63.600000,-160.200000,467
63.316667,-160.200000,301
63.033333,-160.200000,227
62.750000,-160.200000,60
62.466667,-160.200000,55
62.183333,-160.200000,15
61.900000,-160.200000,14
61.616667,-160.200000,365
61.333333,-160.200000,23
61.050000,-160.200000,137
60.766667,-160.200000,199
60.483333,-160.200000,610
60.200000,-160.200000,289
59.916667,-160.200000,358
59.633333,-160.200000,340
59.350000,-160.200000,70
